id,isParent,fu,hansuu,score_of_ron,parent_payment,child_payment,name
1,0,20,2,0,700,400,
2,0,20,3,0,1300,700,
3,0,20,4,0,2600,1300,
4,0,25,2,1600,0,0,
5,0,25,3,3200,1600,800,
6,0,25,4,6400,3200,1600,
7,0,30,1,1000,500,300,
8,0,30,2,2000,1000,500,
9,0,30,3,3900,2000,1000,
10,0,30,4,7700,3900,2000,
11,0,40,1,1300,700,400,
12,0,40,2,2600,1300,700,
13,0,40,3,5200,2600,1300,
14,0,40,4,8000,4000,2000,
15,0,50,1,1600,800,400,
16,0,50,2,3200,1600,800,
17,0,50,3,6400,3200,1600,
18,0,50,4,8000,4000,2000,
19,0,60,1,2000,1000,500,
20,0,60,2,3900,2000,1000,
21,0,60,3,7700,3900,2000,
22,0,60,4,8000,4000,2000,
23,0,70,1,2300,1200,600,
24,0,70,2,4500,2300,1200,
25,0,70,3,8000,4000,2000,
26,0,70,4,8000,4000,2000,
27,0,80,1,2600,1300,700,
28,0,80,2,5200,2600,1300,
29,0,80,3,8000,4000,2000,
30,0,80,4,8000,4000,2000,
31,0,90,1,2900,1500,800,
32,0,90,2,5800,2900,1500,
33,0,90,3,8000,4000,2000,
34,0,90,4,8000,4000,2000,
35,0,100,1,3200,1600,800,
36,0,100,2,6400,3200,1600,
37,0,100,3,8000,4000,2000,
38,0,100,4,8000,4000,2000,
39,0,110,1,3600,1800,900,
40,0,110,2,7100,3600,1800,
41,0,110,3,8000,4000,2000,
42,0,110,4,8000,4000,2000,
43,1,20,2,0,0,700,
44,1,20,3,0,0,1300,
45,1,20,4,0,0,2600,
46,1,25,2,2400,0,0,
47,1,25,3,4800,0,1600,
48,1,25,4,9600,0,3200,
49,1,30,1,1500,0,500,
50,1,30,2,2900,0,1000,
51,1,30,3,5800,0,2000,
52,1,30,4,11600,0,3900,
53,1,40,1,2000,0,700,
54,1,40,2,3900,0,1300,
55,1,40,3,7700,0,2600,
56,1,40,4,12000,0,4000,
57,1,50,1,2400,0,800,
58,1,50,2,4800,0,1600,
59,1,50,3,9600,0,3200,
60,1,50,4,12000,0,4000,
61,1,60,1,2900,0,1000,
62,1,60,2,5800,0,2000,
63,1,60,3,11600,0,3900,
64,1,60,4,12000,0,4000,
65,1,70,1,3400,0,1200,
66,1,70,2,6800,0,2300,
67,1,70,3,12000,0,4000,
68,1,70,4,12000,0,4000,
69,1,80,1,3900,0,1300,
70,1,80,2,7700,0,2600,
71,1,80,3,12000,0,4000,
72,1,80,4,12000,0,4000,
73,1,90,1,4400,0,1500,
74,1,90,2,8700,0,2900,
75,1,90,3,12000,0,4000,
76,1,90,4,12000,0,4000,
77,1,100,1,4800,0,1600,
78,1,100,2,9600,0,3200,
79,1,100,3,12000,0,4000,
80,1,100,4,12000,0,4000,
81,1,110,1,5300,0,1800,
82,1,110,2,10600,0,3600,
83,1,110,3,12000,0,4000,
84,1,110,4,12000,0,4000,
85,0,0,5,8000,4000,2000,満貫
86,0,0,6,12000,6000,3000,跳満
87,0,0,7,12000,6000,3000,跳満
88,0,0,8,16000,8000,4000,倍満
89,0,0,9,16000,8000,4000,倍満
90,0,0,10,16000,8000,4000,倍満
91,0,0,11,24000,12000,6000,三倍満
92,0,0,12,24000,12000,6000,三倍満
93,0,0,13,32000,16000,8000,役満
94,1,0,5,12000,0,4000,満貫
95,1,0,6,18000,0,6000,跳満
96,1,0,7,18000,0,6000,跳満
97,1,0,8,24000,0,8000,倍満
98,1,0,9,24000,0,8000,倍満
99,1,0,10,24000,0,8000,倍満
100,1,0,11,36000,0,12000,三倍満
101,1,0,12,36000,0,12000,三倍満
102,1,0,13,48000,0,16000,役満
